========================================
  海外利益保护情报预警平台 - 后端服务
  版本: 2.0.0 (PostgreSQL)
  端口: 3000
  环境: development
========================================
[DB] 连接失败: 
[SELF-CLEAN] osint_intel 无需清理，200 条
[SELF-CLEAN] socmint_intel 无需清理，6 条
[AUTO-ENGINE] 自动采集引擎启动 | 深度检索每5分钟 / 社交通道每10分钟
[2026-08-06T20:21:32.986Z] GET /api/media?status=1
[2026-08-06T20:21:32.987Z] GET /api/media?status=1
[2026-08-06T20:21:32.988Z] GET /api/media?status=1
[2026-08-06T20:21:32.990Z] GET /api/media?status=1
[2026-08-06T20:21:32.991Z] GET /api/media?status=1
[2026-08-06T20:21:32.992Z] GET /api/media?status=1
[2026-08-06T20:21:32.994Z] GET /api/media?status=1
[2026-08-06T20:21:32.996Z] GET /api/media?status=1
[2026-08-06T20:21:32.997Z] GET /api/media?status=1
[2026-08-06T20:21:32.999Z] GET /api/media?status=1
[2026-08-06T20:21:33.001Z] GET /api/media?status=1
[2026-08-06T20:21:33.003Z] GET /api/media?status=1
[2026-08-06T20:21:33.004Z] GET /api/media?status=1
[2026-08-06T20:21:33.008Z] GET /api/media?status=1
[2026-08-06T20:21:33.010Z] POST /api/intel/osint_intel
[2026-08-06T20:21:33.010Z] GET /api/media?status=1
[2026-08-06T20:21:33.018Z] GET /api/media?status=1
[2026-08-06T20:21:33.021Z] GET /api/media?status=1
[2026-08-06T20:21:33.022Z] GET /api/sources
[2026-08-06T20:21:33.023Z] GET /api/media?status=1
[AUTO-ENGINE crawlAll] fulltext: {"total":3,"ok":1,"fail":2,"skipped":0,"chars":3223,"sec":"0.2"}
[AUTO-ENGINE crawlAll] done in 142.3s | fetched=86 linked=3
[AUTO-ENGINE] 新鲜度闸门剔除 1 条陈旧情报 from crawlAll
[TRANSLATE] 采集即译完成：成功 2 条，失败 0 条
[MERGE] osint_intel 新增 0 条（本批 2），缓存现 200 条
[AUTO-ENGINE] merged 0 /86 from crawlAll → cache now 200
[2026-08-06T20:22:32.824Z] GET /api/media?status=1
[2026-08-06T20:22:32.826Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.827Z] GET /api/media?status=1
[2026-08-06T20:22:32.834Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.846Z] POST /api/intel/osint_intel
[2026-08-06T20:22:32.846Z] GET /api/media?status=1
[2026-08-06T20:22:32.855Z] GET /api/media?status=1
[2026-08-06T20:22:32.857Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.891Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.900Z] GET /api/media?status=1
[2026-08-06T20:22:32.902Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.922Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.933Z] GET /api/media?status=1
[2026-08-06T20:22:32.934Z] GET /api/media?status=1
[2026-08-06T20:22:32.935Z] POST /api/intel/osint_intel
[2026-08-06T20:22:32.948Z] GET /api/media?status=1
[2026-08-06T20:22:32.949Z] POST /api/intel/osint_intel
[2026-08-06T20:22:32.958Z] GET /api/media?status=1
[2026-08-06T20:22:32.960Z] GET /api/media?status=1
[2026-08-06T20:22:32.961Z] GET /api/media?status=1
[2026-08-06T20:22:32.963Z] GET /api/media?status=1
[2026-08-06T20:22:32.964Z] GET /api/media?status=1
[2026-08-06T20:22:32.965Z] GET /api/media?status=1
[2026-08-06T20:22:32.966Z] GET /api/media?status=1
[2026-08-06T20:22:32.967Z] GET /api/media?status=1
[2026-08-06T20:22:32.969Z] GET /api/media?status=1
[2026-08-06T20:22:32.970Z] GET /api/media?status=1
[2026-08-06T20:22:32.971Z] GET /api/media?status=1
[2026-08-06T20:22:32.972Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.983Z] POST /api/intel/military_conflicts
[2026-08-06T20:22:32.992Z] GET /api/media?status=1
[2026-08-06T20:22:32.993Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.002Z] GET /api/media?status=1
[2026-08-06T20:22:33.002Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.015Z] GET /api/media?status=1
[2026-08-06T20:22:33.017Z] GET /api/media?status=1
[2026-08-06T20:22:33.019Z] GET /api/media?status=1
